Rank,Name,Title,Upvotes
1,blitzwolfz,They have a closer bond than me and my family,4971
2,organic_crystal_meth,The circle of life,4915
3,organic_crystal_meth,I didn’t know Covid was so painful,4082
4,organic_crystal_meth,The memory remains,3982
5,RegularNoodles,Living like a king,3820
6,organic_crystal_meth,Spicy sugar!,3521
7,alish_sapkota,They call me madman,3357
8,RegularNoodles,Why do you keep doing this step sis?,3158
9,RegularNoodles,Blasphemy!,3099
10,organic_crystal_meth,Been a rough harvest this year,3011
11,organic_crystal_meth,The lies have broken me,2930
12,registered__,Impossible!,2908
13,organic_crystal_meth,That’s a lot of damage,2889
14,organic_crystal_meth,Next you’re going to say “I carried you for 9 months”,2838
15,RegularNoodles,Captcha this,2789
16,RegularNoodles,I want to stay here forever,2789
17,organic_crystal_meth,Get out!,2766
18,Haianh235,milk coming out of pp help,2723
19,RegularNoodles,Realizing you’re a mod,2721
20,RegularNoodles,Mr. Fix It,2718
21,isalehin,Im helping the world!!,2668
22,alish_sapkota,"Together, we're strong!",2605
23,organic_crystal_meth,The bubbles tickle my nose,2577
24,Haianh235,"""quantum mechanics""",2547
25,organic_crystal_meth,Yes I may!,2536
26,organic_crystal_meth,Dirtier than a dog in a dumpster,2524
27,alish_sapkota,I'm a very busy person,2513
28,RegularNoodles,Just like my brain,2507
29,organic_crystal_meth,You do it once...,2500
30,organic_crystal_meth,It’s alive,2478
31,RegularNoodles,I’m joining my people!,2462
32,alish_sapkota,Invest in the confused dog format!,2453
33,organic_crystal_meth,The sad truth,2455
34,alish_sapkota,Is that a camera?,2445
35,organic_crystal_meth,Whoa cool! A dead guy!,2426
36,RegularNoodles,We really needed this,2407
37,alish_sapkota,I've won but at what cost?,2402
38,alish_sapkota,Please don't commit die!,2392
39,organic_crystal_meth,Grimey,2387
40,registered__,Execute order 66,2364
41,alish_sapkota,Invest you droids!,2349
42,Haianh235,why did you even say it in the first place then,2347
43,RegularNoodles,I heard a scary noise,2344
44,RegularNoodles,"I can’t sleep, I can’t eat. Nothing is real anymore",2318
45,alish_sapkota,Lego for the win!,2317
46,organic_crystal_meth,Oh it’s deep alright,2306
47,alish_sapkota,Invest with the hope of big returns!,2295
48,RegularNoodles,The ol switcheroo,2283
49,Haianh235,This is why I don't talk,2286
50,organic_crystal_meth,We’re looking at you Hitlers killer,2283
51,RegularNoodles,MEDIUM PP TIME,2263
52,Haianh235,Oh fuck I forgot,2261
53,organic_crystal_meth,Stay home,2252
54,alish_sapkota,It's me!,2235
55,RegularNoodles,It’s over for me. Goodbye friends.,2240
56,organic_crystal_meth,The only fear,2241
57,RegularNoodles,Prove me wrong,2212
58,alish_sapkota,He said the word!,2204
59,blitzwolfz,The duality of being a simp,2204
60,RegularNoodles,Don’t mind if I do!,2194
61,RegularNoodles,Back! Back!,2183
62,organic_crystal_meth,Ah sh*t here we go again,2164
63,SlummyCancerweed,must be those damn neighbours!,2160
64,organic_crystal_meth,Please forgive me,2155
65,organic_crystal_meth,So hungry,2151
66,Haianh235,Ew mom no one wants to hear that,2155
67,RegularNoodles,Also some healing crystals,2137
68,RegularNoodles,Immovable object,2104
69,RegularNoodles,It’s like I was born for this,2102
70,organic_crystal_meth,Doorknockers,2098
71,organic_crystal_meth,LEGO Batman or GTFO,2099
72,alish_sapkota,What have I done,2089
73,RegularNoodles,“Uh huh yeah babe” “put down that knife!”,2050
74,organic_crystal_meth,So tired....I mean smart,2036
75,alish_sapkota,It's just a prank bro,2034
76,bubulle099,WE ARE STEALING ALL THE COINS TOO! GET IN!,2012
77,Daggy1234,The real quarantine,2007
78,blitzwolfz,This isn't simp city,1986
79,None,It’s like a daily ritual,1971
80,organic_crystal_meth,Slow down pops,1945
81,organic_crystal_meth,Splattt,1935
82,joeygallinal,Based on a true story,1927
83,organic_crystal_meth,Gonna get worse before it gets better,1916
84,joeygallinal,Back dat ass up!,1909
85,RegularNoodles,Where am I for that matter?,1904
86,organic_crystal_meth,Do you see it now,1900
87,isalehin,Cha cha real smooth,1867
88,iSillyfishy,Investment opportunity to guide you through tough times!,1852
89,alish_sapkota,Invest in this confused man format!,1832
90,RegularNoodles,"Cmon Steve, let’s get out of here",1821
91,Haianh235,Come at me bitches,1817
92,IndigoSoln,But Chick-fil-A doesn't give you the squirts,1813
93,SlummyCancerweed,You ain’t stopping till you’re dry Richard!,1809
94,RegularNoodles,You fell for it fool!,1792
95,blitzwolfz,Invest now to make some sweet sweet profit!,1787
96,joeygallinal,Into the unknown!,1771
97,organic_crystal_meth,It’s an illusion Michael,1761
98,Azrael_Fornivald,"""maybe it should be a proverb"" Uncle Iroh",1755
99,alish_sapkota,Bend rules and invest!,1748
100,organic_crystal_meth,Stick to what you’re good at,1734
